Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
12 Terminal Tranferir Archivos,Chrome 116.0.0.0,,,2023-08-30 17:29:15,2023-08-30 17:33:01,"3m - 45,995s",FAILED
,,,,,,,
Test Cases/VIDEO ATENCION/12 Terminal Transferir Archivo TXT,Chrome 116.0.0.0,,,2023-08-30 17:29:15,2023-08-30 17:30:31,"1m - 16,044s",FAILED
openBrowser(UrlDigiturno),Chrome 116.0.0.0,,,2023-08-30 17:29:16,2023-08-30 17:29:19,"2,917s",PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-30 17:29:19,2023-08-30 17:29:19,"0,149s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-30 17:29:19,2023-08-30 17:29:22,"3,053s",PASSED
"setText(findTestObject(""0Inicio Sesion/input_Usuario""), ""ciel"")",Chrome 116.0.0.0,,,2023-08-30 17:29:22,2023-08-30 17:29:22,"0,698s",PASSED
"setText(findTestObject(""0Inicio Sesion/input_Clave""), ""digiturno"")",Chrome 116.0.0.0,,,2023-08-30 17:29:22,2023-08-30 17:29:23,"0,686s",PASSED
"click(findTestObject(""0Inicio Sesion/btn_IniciarSesion""))",Chrome 116.0.0.0,,,2023-08-30 17:29:23,2023-08-30 17:29:24,"0,391s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-30 17:29:24,2023-08-30 17:29:27,"3,012s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Operacion(1)""))",Chrome 116.0.0.0,,,2023-08-30 17:29:27,2023-08-30 17:29:28,"1,043s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/0Principal/Elementos del Sistema/img_Terminales""))",Chrome 116.0.0.0,,,2023-08-30 17:29:28,2023-08-30 17:29:28,"0,668s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Oficinas/td_2Cali - Chipichape""))",Chrome 116.0.0.0,,,2023-08-30 17:29:28,2023-08-30 17:29:29,"0,545s",PASSED
delay(2),Chrome 116.0.0.0,,,2023-08-30 17:29:29,2023-08-30 17:29:31,"2,008s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Terminales (Menos WorkFlow)/td_1 - Terminal - Informacion""))",Chrome 116.0.0.0,,,2023-08-30 17:29:31,2023-08-30 17:29:31,"0,443s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-30 17:29:31,2023-08-30 17:29:34,"3,018s",PASSED
navigateToUrl(UrlVideoAtencion),Chrome 116.0.0.0,Valor ventana Video Atencion = 0  y valor ventana terminal = 1,,2023-08-30 17:29:34,2023-08-30 17:29:35,"0,893s",PASSED
"waitForElementClickable(findTestObject(""VIDEO ATENCION/Cliente/0btn_Solicitar Video Atencion""), 5)",Chrome 116.0.0.0,,,2023-08-30 17:29:35,2023-08-30 17:29:39,"4,265s",PASSED
"click(findTestObject(""VIDEO ATENCION/Cliente/0btn_Solicitar Video Atencion""))",Chrome 116.0.0.0,,,2023-08-30 17:29:39,2023-08-30 17:29:40,"0,425s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-30 17:29:40,2023-08-30 17:29:43,"3,006s",PASSED
"selectOptionByIndex(findTestObject(""VIDEO ATENCION/Cliente/select_Tipo Identificacion""), 1)",Chrome 116.0.0.0,,,2023-08-30 17:29:43,2023-08-30 17:29:44,"1,465s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Identificacion""), ""636711"")",Chrome 116.0.0.0,,,2023-08-30 17:29:44,2023-08-30 17:29:45,"1,039s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_NombreCompleto""), ""Jaime Enrique Davila Zuazo"")",Chrome 116.0.0.0,,,2023-08-30 17:29:45,2023-08-30 17:29:46,"0,744s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Primer Nombre""), ""Jaime"")",Chrome 116.0.0.0,,,2023-08-30 17:29:46,2023-08-30 17:29:47,"0,717s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Segundo Nombre""), ""Enrique"")",Chrome 116.0.0.0,,,2023-08-30 17:29:47,2023-08-30 17:29:48,"0,669s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Primer Apellido""), ""Davila"")",Chrome 116.0.0.0,,,2023-08-30 17:29:48,2023-08-30 17:29:48,"0,683s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Segundo Apellido""), ""Zuazo"")",Chrome 116.0.0.0,,,2023-08-30 17:29:48,2023-08-30 17:29:49,"0,696s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Celular""), ""3194159302"")",Chrome 116.0.0.0,,,2023-08-30 17:29:49,2023-08-30 17:29:50,"0,702s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Correo""), ""edavilaz@gmail.com"")",Chrome 116.0.0.0,,,2023-08-30 17:29:50,2023-08-30 17:29:50,"0,700s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Confirme Correo""), ""edavilaz@gmail.com"")",Chrome 116.0.0.0,,,2023-08-30 17:29:50,2023-08-30 17:29:51,"0,726s",PASSED
takeFullPageScreenshot(),Chrome 116.0.0.0,,,2023-08-30 17:29:51,2023-08-30 17:29:52,"0,916s",PASSED
"scrollToElement(findTestObject(""VIDEO ATENCION/Cliente/img_Continuar (Guarda Cliente)""), 2)",Chrome 116.0.0.0,,,2023-08-30 17:29:52,2023-08-30 17:29:52,"0,378s",PASSED
"click(findTestObject(""VIDEO ATENCION/Cliente/img_Continuar (Guarda Cliente)""))",Chrome 116.0.0.0,,,2023-08-30 17:29:52,2023-08-30 17:29:53,"0,389s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-30 17:29:53,2023-08-30 17:29:56,"3,016s",PASSED
takeFullPageScreenshot(),Chrome 116.0.0.0,,,2023-08-30 17:29:56,2023-08-30 17:29:56,"0,616s",PASSED
