Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
13 Cliente Reenviar Archivo,Chrome 116.0.0.0,,,2023-08-30 17:33:11,2023-08-30 17:34:27,"1m - 16,039s",FAILED
,,,,,,,
Test Cases/VIDEO ATENCION/13 Cliente Reenviar Archivo,Chrome 116.0.0.0,,,2023-08-30 17:33:11,2023-08-30 17:34:27,"1m - 15,806s",FAILED
openBrowser(UrlDigiturno),Chrome 116.0.0.0,,,2023-08-30 17:33:12,2023-08-30 17:33:14,"2,830s",PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-30 17:33:14,2023-08-30 17:33:15,"0,159s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-30 17:33:15,2023-08-30 17:33:18,"3,043s",PASSED
"setText(findTestObject(""0Inicio Sesion/input_Usuario""), ""ciel"")",Chrome 116.0.0.0,,,2023-08-30 17:33:18,2023-08-30 17:33:18,"0,714s",PASSED
"setText(findTestObject(""0Inicio Sesion/input_Clave""), ""digiturno"")",Chrome 116.0.0.0,,,2023-08-30 17:33:18,2023-08-30 17:33:19,"0,655s",PASSED
"click(findTestObject(""0Inicio Sesion/btn_IniciarSesion""))",Chrome 116.0.0.0,,,2023-08-30 17:33:19,2023-08-30 17:33:19,"0,414s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-30 17:33:19,2023-08-30 17:33:22,"3,012s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Operacion(1)""))",Chrome 116.0.0.0,,,2023-08-30 17:33:22,2023-08-30 17:33:23,"0,708s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/0Principal/Elementos del Sistema/img_Terminales""))",Chrome 116.0.0.0,,,2023-08-30 17:33:23,2023-08-30 17:33:24,"0,950s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Oficinas/td_2Cali - Chipichape""))",Chrome 116.0.0.0,,,2023-08-30 17:33:24,2023-08-30 17:33:25,"0,496s",PASSED
delay(2),Chrome 116.0.0.0,,,2023-08-30 17:33:25,2023-08-30 17:33:27,"2,011s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Terminales (Menos WorkFlow)/td_1 - Terminal - Informacion""))",Chrome 116.0.0.0,,,2023-08-30 17:33:27,2023-08-30 17:33:27,"0,424s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-30 17:33:27,2023-08-30 17:33:30,"3,002s",PASSED
navigateToUrl(UrlVideoAtencion),Chrome 116.0.0.0,Valor ventana Video Atencion = 0  y valor ventana terminal = 1,,2023-08-30 17:33:30,2023-08-30 17:33:31,"0,901s",PASSED
"waitForElementClickable(findTestObject(""VIDEO ATENCION/Cliente/0btn_Solicitar Video Atencion""), 5)",Chrome 116.0.0.0,,,2023-08-30 17:33:31,2023-08-30 17:33:35,"4,296s",PASSED
"click(findTestObject(""VIDEO ATENCION/Cliente/0btn_Solicitar Video Atencion""))",Chrome 116.0.0.0,,,2023-08-30 17:33:35,2023-08-30 17:33:36,"0,423s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-30 17:33:36,2023-08-30 17:33:39,"3,015s",PASSED
"selectOptionByIndex(findTestObject(""VIDEO ATENCION/Cliente/select_Tipo Identificacion""), 1)",Chrome 116.0.0.0,,,2023-08-30 17:33:39,2023-08-30 17:33:40,"1,453s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Identificacion""), ""636711"")",Chrome 116.0.0.0,,,2023-08-30 17:33:40,2023-08-30 17:33:41,"1,036s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_NombreCompleto""), ""Jaime Enrique Davila Zuazo"")",Chrome 116.0.0.0,,,2023-08-30 17:33:41,2023-08-30 17:33:42,"0,741s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Primer Nombre""), ""Jaime"")",Chrome 116.0.0.0,,,2023-08-30 17:33:42,2023-08-30 17:33:43,"0,710s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Segundo Nombre""), ""Enrique"")",Chrome 116.0.0.0,,,2023-08-30 17:33:43,2023-08-30 17:33:43,"0,700s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Primer Apellido""), ""Davila"")",Chrome 116.0.0.0,,,2023-08-30 17:33:43,2023-08-30 17:33:44,"0,720s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Segundo Apellido""), ""Zuazo"")",Chrome 116.0.0.0,,,2023-08-30 17:33:44,2023-08-30 17:33:45,"0,678s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Celular""), ""3194159302"")",Chrome 116.0.0.0,,,2023-08-30 17:33:45,2023-08-30 17:33:45,"0,682s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Correo""), ""edavilaz@gmail.com"")",Chrome 116.0.0.0,,,2023-08-30 17:33:45,2023-08-30 17:33:46,"0,763s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Confirme Correo""), ""edavilaz@gmail.com"")",Chrome 116.0.0.0,,,2023-08-30 17:33:46,2023-08-30 17:33:47,"0,716s",PASSED
takeFullPageScreenshot(),Chrome 116.0.0.0,,,2023-08-30 17:33:47,2023-08-30 17:33:48,"0,892s",PASSED
"scrollToElement(findTestObject(""VIDEO ATENCION/Cliente/img_Continuar (Guarda Cliente)""), 2)",Chrome 116.0.0.0,,,2023-08-30 17:33:48,2023-08-30 17:33:48,"0,391s",PASSED
"click(findTestObject(""VIDEO ATENCION/Cliente/img_Continuar (Guarda Cliente)""))",Chrome 116.0.0.0,,,2023-08-30 17:33:48,2023-08-30 17:33:49,"0,402s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-30 17:33:49,2023-08-30 17:33:52,"3,009s",PASSED
takeFullPageScreenshot(),Chrome 116.0.0.0,,,2023-08-30 17:33:52,2023-08-30 17:33:52,"0,567s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-30 17:33:52,2023-08-30 17:33:55,"3,010s",PASSED
switchToWindowIndex(1),Chrome 116.0.0.0,Cambio a ventana Terminal para llamar el Turno,,2023-08-30 17:33:55,2023-08-30 17:34:27,"31,906s",FAILED
Start listener action : sampleAfterTestCase,Chrome 116.0.0.0,,,2023-08-30 17:34:27,2023-08-30 17:34:27,"0,004s",PASSED
