Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4 Atencion Turno en Navegador Cliente,Chrome 116.0.0.0,,,2023-08-31 08:33:51,2023-08-31 08:35:25,"1m - 34,639s",FAILED
,,,,,,,
Test Cases/VIDEO ATENCION/4 Atencion Turno en Navegador Cliente,Chrome 116.0.0.0,,,2023-08-31 08:33:51,2023-08-31 08:35:25,"1m - 34,161s",FAILED
openBrowser(UrlDigiturno),Chrome 116.0.0.0,,,2023-08-31 08:33:52,2023-08-31 08:33:56,"4,110s",PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-31 08:33:56,2023-08-31 08:33:56,"0,163s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-31 08:33:56,2023-08-31 08:33:59,"3,056s",PASSED
"setText(findTestObject(""0Inicio Sesion/input_Usuario""), ""ciel"")",Chrome 116.0.0.0,,,2023-08-31 08:33:59,2023-08-31 08:34:00,"1,067s",PASSED
"setText(findTestObject(""0Inicio Sesion/input_Clave""), ""digiturno"")",Chrome 116.0.0.0,,,2023-08-31 08:34:00,2023-08-31 08:34:01,"1,019s",PASSED
"click(findTestObject(""0Inicio Sesion/btn_IniciarSesion""))",Chrome 116.0.0.0,,,2023-08-31 08:34:01,2023-08-31 08:34:02,"0,648s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-31 08:34:02,2023-08-31 08:34:05,"3,014s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Operacion(1)""))",Chrome 116.0.0.0,,,2023-08-31 08:34:05,2023-08-31 08:34:06,"1,134s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/0Principal/Elementos del Sistema/img_Terminales""))",Chrome 116.0.0.0,,,2023-08-31 08:34:06,2023-08-31 08:34:07,"0,948s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Oficinas/td_2Cali - Chipichape""))",Chrome 116.0.0.0,,,2023-08-31 08:34:07,2023-08-31 08:34:08,"0,605s",PASSED
delay(2),Chrome 116.0.0.0,,,2023-08-31 08:34:08,2023-08-31 08:34:10,"2,020s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Terminales (Menos WorkFlow)/td_1 - Terminal - Informacion""))",Chrome 116.0.0.0,,,2023-08-31 08:34:10,2023-08-31 08:34:10,"0,559s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-31 08:34:10,2023-08-31 08:34:13,"3,018s",PASSED
navigateToUrl(UrlVideoAtencion),Chrome 116.0.0.0,Valor ventana Video Atencion = 0  y valor ventana terminal = 1,,2023-08-31 08:34:13,2023-08-31 08:34:16,"2,557s",PASSED
"waitForElementClickable(findTestObject(""VIDEO ATENCION/Cliente/0btn_Solicitar Video Atencion""), 5)",Chrome 116.0.0.0,,,2023-08-31 08:34:16,2023-08-31 08:34:22,"5,871s",PASSED
"click(findTestObject(""VIDEO ATENCION/Cliente/0btn_Solicitar Video Atencion""))",Chrome 116.0.0.0,,,2023-08-31 08:34:22,2023-08-31 08:34:22,"0,691s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-31 08:34:22,2023-08-31 08:34:25,"3,018s",PASSED
"selectOptionByIndex(findTestObject(""VIDEO ATENCION/Cliente/select_Tipo Identificacion""), 1)",Chrome 116.0.0.0,,,2023-08-31 08:34:25,2023-08-31 08:34:27,"1,569s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Identificacion""), ""636711"")",Chrome 116.0.0.0,,,2023-08-31 08:34:27,2023-08-31 08:34:28,"1,498s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_NombreCompleto""), ""Jaime Enrique Davila Zuazo"")",Chrome 116.0.0.0,,,2023-08-31 08:34:28,2023-08-31 08:34:29,"1,135s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Primer Nombre""), ""Jaime"")",Chrome 116.0.0.0,,,2023-08-31 08:34:29,2023-08-31 08:34:31,"1,105s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Segundo Nombre""), ""Enrique"")",Chrome 116.0.0.0,,,2023-08-31 08:34:31,2023-08-31 08:34:32,"1,037s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Primer Apellido""), ""Davila"")",Chrome 116.0.0.0,,,2023-08-31 08:34:32,2023-08-31 08:34:33,"1,029s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Segundo Apellido""), ""Zuazo"")",Chrome 116.0.0.0,,,2023-08-31 08:34:33,2023-08-31 08:34:34,"1,109s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Celular""), ""3194159302"")",Chrome 116.0.0.0,,,2023-08-31 08:34:34,2023-08-31 08:34:35,"1,051s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Correo""), ""edavilaz@gmail.com"")",Chrome 116.0.0.0,,,2023-08-31 08:34:35,2023-08-31 08:34:36,"1,051s",PASSED
