Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5 Cliente Deshabilitar Video,Chrome 116.0.0.0,,,2023-08-31 08:35:36,2023-08-31 08:37:41,"2m - 5,199s",FAILED
,,,,,,,
Test Cases/VIDEO ATENCION/5 Cliente Deshabilitar Video,Chrome 116.0.0.0,,,2023-08-31 08:35:36,2023-08-31 08:37:41,"2m - 4,867s",FAILED
openBrowser(UrlDigiturno),Chrome 116.0.0.0,,,2023-08-31 08:35:37,2023-08-31 08:35:41,"3,864s",PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-31 08:35:41,2023-08-31 08:35:41,"0,160s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-31 08:35:41,2023-08-31 08:35:44,"3,050s",PASSED
"setText(findTestObject(""0Inicio Sesion/input_Usuario""), ""ciel"")",Chrome 116.0.0.0,,,2023-08-31 08:35:44,2023-08-31 08:35:45,"0,975s",PASSED
"setText(findTestObject(""0Inicio Sesion/input_Clave""), ""digiturno"")",Chrome 116.0.0.0,,,2023-08-31 08:35:45,2023-08-31 08:35:46,"0,941s",PASSED
"click(findTestObject(""0Inicio Sesion/btn_IniciarSesion""))",Chrome 116.0.0.0,,,2023-08-31 08:35:46,2023-08-31 08:35:47,"0,653s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-31 08:35:47,2023-08-31 08:35:50,"3,018s",PASSED
"click(findTestObject(""DIGITURNO/1Principal/img_Operacion(1)""))",Chrome 116.0.0.0,,,2023-08-31 08:35:50,2023-08-31 08:35:50,"0,795s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/0Principal/Elementos del Sistema/img_Terminales""))",Chrome 116.0.0.0,,,2023-08-31 08:35:50,2023-08-31 08:35:51,"0,913s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Oficinas/td_2Cali - Chipichape""))",Chrome 116.0.0.0,,,2023-08-31 08:35:51,2023-08-31 08:35:52,"0,641s",PASSED
delay(2),Chrome 116.0.0.0,,,2023-08-31 08:35:52,2023-08-31 08:35:54,"2,021s",PASSED
"click(findTestObject(""DIGITURNO/OPERACION/2Terminales/0Terminales (Menos WorkFlow)/td_1 - Terminal - Informacion""))",Chrome 116.0.0.0,,,2023-08-31 08:35:54,2023-08-31 08:35:55,"0,568s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-31 08:35:55,2023-08-31 08:35:58,"3,004s",PASSED
navigateToUrl(UrlVideoAtencion),Chrome 116.0.0.0,Valor ventana Video Atencion = 0  y valor ventana terminal = 1,,2023-08-31 08:35:58,2023-08-31 08:35:59,"1,838s",PASSED
"waitForElementClickable(findTestObject(""VIDEO ATENCION/Cliente/0btn_Solicitar Video Atencion""), 5)",Chrome 116.0.0.0,,,2023-08-31 08:35:59,2023-08-31 08:36:04,"4,797s",PASSED
"click(findTestObject(""VIDEO ATENCION/Cliente/0btn_Solicitar Video Atencion""))",Chrome 116.0.0.0,,,2023-08-31 08:36:04,2023-08-31 08:36:05,"0,699s",PASSED
delay(3),Chrome 116.0.0.0,,,2023-08-31 08:36:05,2023-08-31 08:36:08,"3,007s",PASSED
"selectOptionByIndex(findTestObject(""VIDEO ATENCION/Cliente/select_Tipo Identificacion""), 1)",Chrome 116.0.0.0,,,2023-08-31 08:36:08,2023-08-31 08:36:09,"1,464s",PASSED
"setText(findTestObject(""VIDEO ATENCION/Cliente/input_Identificacion""), ""636711"")",Chrome 116.0.0.0,,,2023-08-31 08:36:09,2023-08-31 08:36:11,"1,625s",PASSED
