Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.1 Crear Oficina Cali,Chrome 122.0.0.0,,,2024-03-11 10:14:14,2024-03-11 10:15:13,"59,850s",PASSED
,,,,,,,
Test Cases/WIZARD/3Infraestructura/1Oficinas/5.1 Crear Oficina Cali,Chrome 122.0.0.0,,,2024-03-11 10:14:14,2024-03-11 10:15:13,"59,610s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,2024-03-11 10:14:14,2024-03-11 10:14:27,"12,535s",PASSED
"click(findTestObject(""WIZARD/0Principal/img_InfraestructuraMAX""))",Chrome 122.0.0.0,,,2024-03-11 10:14:27,2024-03-11 10:14:27,"0,614s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:14:27,2024-03-11 10:14:30,"3,014s",PASSED
"click(findTestObject(""WIZARD/3Infraestructura/0Menu/span_Oficinas""))",Chrome 122.0.0.0,,,2024-03-11 10:14:30,2024-03-11 10:14:32,"1,394s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:14:32,2024-03-11 10:14:35,"3,016s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Pais""), ""Colombia"", false)",Chrome 122.0.0.0,,,2024-03-11 10:14:35,2024-03-11 10:14:36,"0,879s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 10:14:36,2024-03-11 10:14:38,"2,016s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Departamento""), ""Valle del Cauca"", false)",Chrome 122.0.0.0,,,2024-03-11 10:14:38,2024-03-11 10:14:38,"0,769s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 10:14:38,2024-03-11 10:14:40,"2,010s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Ciudad""), ""Cali"", false)",Chrome 122.0.0.0,,,2024-03-11 10:14:40,2024-03-11 10:14:41,"0,830s",PASSED
delay(2),Chrome 122.0.0.0,,,2024-03-11 10:14:41,2024-03-11 10:14:43,"2,007s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/input_Nombre""), ""Cali - Chipichape"")",Chrome 122.0.0.0,Oficina Cali - Chipichape,,2024-03-11 10:14:43,2024-03-11 10:14:44,"0,832s",PASSED
"selectOptionByLabel(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/select_Nivel de Pregunta""), ""Ninguno"", false)",Chrome 122.0.0.0,,,2024-03-11 10:14:44,2024-03-11 10:14:45,"0,729s",PASSED
delay(3),Chrome 122.0.0.0,,,2024-03-11 10:14:45,2024-03-11 10:14:48,"3,006s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/input_MaximoTurnosXCliente""), ""2"")",Chrome 122.0.0.0,,,2024-03-11 10:14:48,2024-03-11 10:14:49,"0,839s",PASSED
"setText(findTestObject(""WIZARD/3Infraestructura/1Oficinas/2Edicion/Edicion/input_Nivel de servicio de espera""), ""0"")",Chrome 122.0.0.0,,,2024-03-11 10:14:49,2024-03-11 10:14:49,"0,821s",PASSED
